Genotype,replicate,W1,W3,W5,W8,W10,W12,W15,W17,W19,ShootWeightG,rootWeightG,leafNumber
B285,1,0.226,0.267,0.334,0.484,0.625,0.83,1.098,1.251,1.656,1.095,0.561,5
B285,2,0.222,0.271,0.36,0.482,0.631,0.807,1.068,1.35,1.404,0.939,0.465,4
B285,3,0.293,0.313,0.421,0.566,0.726,0.894,1.164,1.416,1.657,1.089,0.568,5
B285,4,0.215,0.279,0.314,0.493,0.634,0.81,1.04,1.236,1.781,1.125,0.656,5
B285,5,0.224,0.277,0.34,0.469,0.58,0.747,0.961,1.136,1.733,1.091,0.642,5
B285,6,0.246,0.306,0.382,0.504,0.65,0.854,1.14,1.378,1.615,1.021,0.594,5
B285,7,0.229,0.312,0.397,0.54,0.707,0.91,1.206,1.502,2.417,1.453,0.964,6
B285,8,0.229,0.312,0.416,0.575,0.786,1.059,1.485,1.846,1.869,1.159,0.71,5
B285,9,0.238,0.32,0.41,0.574,0.763,0.975,1.276,1.568,2.112,1.251,0.861,5
B285,10,0.245,0.308,0.393,0.505,0.687,0.893,1.178,1.472,2.273,1.43,0.843,5
B285,11,0.234,0.34,0.338,0.6,0.8,1.091,1.388,1.505,1.858,1.162,0.696,5
B285,12,0.207,0.271,0.368,0.567,0.731,1.001,1.256,1.485,1.848,1.16,0.688,5
B285,13,0.218,0.272,0.361,0.491,0.662,0.847,1.048,1.236,2.48,1.48,1,5
B285,14,0.224,0.309,0.37,0.518,0.696,0.893,1.243,1.571,1.505,0.906,0.599,4
B285,15,0.132,0.175,0.236,0.28,0.395,0.554,0.815,0.972,2.044,1.318,0.726,5
B285,16,0.212,0.242,0.301,0.386,0.507,0.682,0.934,1.192,2.277,1.415,0.862,5
B285,17,0.211,0.28,0.267,0.48,0.659,0.896,1.235,1.513,1.781,1.08,0.701,5
B285,18,0.153,0.198,0.255,0.383,0.535,0.723,1.023,1.23,2.442,1.444,0.998,5
B285,19,0.155,0.212,0.21,0.385,0.546,0.77,1.026,1.218,1.658,0.949,0.709,5
B285,20,0.199,0.252,0.313,0.412,0.572,0.744,1.04,1.214,1.714,1.004,0.71,5
B284,1,0.287,0.313,0.388,0.531,0.716,0.966,1.344,1.683,1.385,0.965,0.42,6
B284,2,0.245,0.261,0.321,0.42,0.554,0.744,1.013,1.22,1.49,0.979,0.511,6
B284,3,0.229,0.275,0.251,0.476,0.639,0.896,1.213,1.44,1.587,1.009,0.578,7
B284,4,0.255,0.318,0.308,0.554,0.756,0.972,1.345,1.592,1.335,0.891,0.444,4
B284,5,0.228,0.264,0.346,0.533,0.703,0.977,1.35,1.575,1.211,0.802,0.409,4
B284,6,0.189,0.24,0.306,0.41,0.545,0.76,1.071,1.716,1.565,0.968,0.597,7
B284,7,0.212,0.265,0.307,0.532,0.715,1.009,1.462,1.304,1.598,1.024,0.574,8
B284,8,0.267,0.329,0.432,0.592,0.787,1.08,1.375,1.712,2.056,1.225,0.831,6
B284,9,0.244,0.288,0.3,0.546,0.797,1.078,1.545,1.867,1.701,1.155,0.546,8
