Genotype,rep,germinationdate,Age_one,Age_two,Group,Algae,Initalweight,WeightPreStress,Totalfreshweight,Totalshootweight,Totalrootweight,Totaldryweight,Shootdryweight,Rootdryweight,Green/yellow,Healthy/wilted
B290,2,07/01/2024,8,22,A,NA,0.473,1.75,0.886,0.511,0.375,0.2,0.1254,0.0746,y,w
B290,3,07/01/2024,8,22,A,NA,0.508,2.152,1.301,0.79,0.511,0.223,0.148,0.075,y,w
B290,4,07/01/2024,NA,14,A,NA,0.394,0,0,0,0,0,NA,NA,NA,NA
B290,5,07/01/2024,11,25,A,NA,0.458,0,2.054,1.101,0.953,0.3583,0.1771,0.1812,y,w
B290,6,07/01/2024,10,24,A,NA,0.465,1.894,1.258,0.825,0.433,0.24,0.1558,0.0842,y,w
B290,7,07/01/2024,NA,14,A,NA,0.348,0,0,0,0,0,NA,NA,NA,NA
B290,8,07/01/2024,NA,14,A,NA,0.313,0,0,0,0,0,NA,NA,NA,NA
B290,9,07/01/2024,8,22,A,NA,0.494,1.91,1.256,0.818,0.438,0.218,0.1517,0.0663,y,w
B290,10,07/01/2024,NA,14,A,NA,0.443,0,0,0,0,0,NA,NA,NA,NA
B290,11,07/01/2024,8,22,A,NA,0.466,1.461,0.719,0.428,0.291,0.1263,0.0787,0.0476,y,w
B290,12,07/01/2024,8,22,A,NA,0.49,1.627,1.412,0.965,0.447,0.2136,0.1442,0.0694,y,w
B290,13,07/01/2024,11,25,A,NA,0.468,0,1.377,0.869,0.508,0.2237,0.1351,0.0886,y,w
B290,14,07/01/2024,12,26,A,NA,0.456,1.472,1.459,1.05,0.409,0.227,0.1718,0.0552,g/y,w
B290,15,07/01/2024,9,23,A,NA,0.47,1.336,1.107,0.632,0.475,0.1993,0.1352,0.0641,y,w
B290,16,07/01/2024,10,24,A,NA,0.466,1.178,0.851,0.529,0.322,0.1696,0.1108,0.0588,y,w
B290,17,07/01/2024,NA,14,A,NA,0.329,0,0,0,0,0,NA,NA,NA,NA
B290,18,07/01/2024,8,22,A,NA,0.466,1.533,0.924,0.558,0.366,0.1497,0.0967,0.053,y,w
B290,19,07/01/2024,8,22,A,NA,0.581,0,0,0,0,0,NA,NA,NA,NA
B290,20,07/01/2024,NA,14,A,NA,0.344,0,0,0,0,0,NA,NA,NA,NA
B290,21,07/01/2024,NA,14,A,NA,0.352,0,0,0,0,0,NA,NA,NA,NA
B290,22,07/01/2024,10,24,A,NA,0.49,1.779,1.826,1.218,0.608,0.3009,0.1881,0.1128,g/y,w
B290,23,07/01/2024,12,26,A,NA,0.462,1.393,1.471,1.016,0.455,0.2337,0.1694,0.0643,g/y,w
B290,24,07/01/2024,9,23,A,NA,0.453,2.153,1.423,0.785,0.638,0.2389,0.1568,0.0821,y,w
B290,25,07/01/2024,8,22,A,NA,0.531,2.695,1.83,1.232,0.598,0.286,0.2004,0.0856,y,w
B290,26,07/01/2024,11,25,A,NA,0.466,0,1.748,1.211,0.537,0.3023,0.1966,0.1057,y,w
