Genotype,rep,germinationdate,Age_one,Age_two,Group,Algae,Initalweight,WeightPreStress,Totalfreshweight,Totalshootweight,Totalrootweight,Totaldryweight,Shootdryweight,Rootdryweight,Green/yellow,Healthy/wilted
B289,10,21/10/2023,14,28,A,NA,0.463,1.822,1.366,0.793,0.573,0.209,0.1532,0.0558,NA,NA
Bowman,13,21/10/2023,14,28,A,NA,0.45,1.846,1.78,1.106,0.674,0.2065,0.1389,0.0676,NA,NA
B290,15,22/10/2023,13,27,B,NA,0.506,2.118,1.384,0.806,0.578,0.2019,0.1383,0.0636,NA,NA
Bowman,18,21/10/2023,14,28,A,NA,0.45,2.258,1.619,0.886,0.733,0.2139,0.1487,0.0652,NA,NA
Bowman,20,21/10/2023,14,28,A,NA,0.45,1.805,1.691,1.128,0.563,0.1954,0.1452,0.0502,NA,NA
Bowman,21,21/10/2023,14,28,A,NA,0.475,2.263,1.846,1.059,0.787,0.2294,0.1592,0.0702,NA,NA
B289,22,21/10/2023,14,28,A,NA,0.451,1.666,1.096,0.67,0.426,0.1755,0.1251,0.0504,NA,NA
Bowman,22,21/10/2023,14,28,A,NA,0.45,1.853,1.635,0.982,0.653,0.1956,0.1323,0.0633,NA,NA
Bowman,24,21/10/2023,14,28,A,NA,0.461,2.202,2.015,1.254,0.761,0.2452,0.1688,0.0764,NA,NA
B289,25,21/10/2023,14,28,A,NA,0.48,1.634,1.032,0.586,0.446,0.167,0.1157,0.0513,NA,NA
B290,27,22/10/2023,13,27,B,NA,0.483,0,1.593,0.883,0.71,0.2473,0.1779,0.0694,NA,NA
B289,28,21/10/2023,14,28,A,NA,0.505,2.117,1.949,1.359,0.59,0.2174,0.161,0.0564,NA,NA
Bowman,28,21/10/2023,14,28,A,NA,0.45,2.487,1.414,0.838,0.576,0.2115,0.1604,0.0511,NA,NA
B289,29,21/10/2023,14,28,A,NA,0.45,0,0,0,0,0,0,0,NA,NA
B290,29,22/10/2023,13,27,B,NA,0.474,2.401,2.123,1.379,0.744,0.2608,0.1956,0.0652,NA,NA
Bowman,32,22/10/2023,13,27,B,NA,0.464,2.66,2.75,1.867,0.883,0.3037,0.2195,0.0842,NA,NA
B289,33,21/10/2023,14,28,A,NA,0.474,1.451,1.028,0.546,0.482,0.1934,0.123,0.0704,NA,NA
B289,34,21/10/2023,14,28,A,NA,0.523,2.628,1.546,0.934,0.612,0.2517,0.1838,0.0679,NA,NA
Bowman,34,22/10/2023,13,27,B,NA,0.483,2.505,2.445,1.6,0.845,0.2276,0.1598,0.0678,NA,NA
B290,36,22/10/2023,13,27,B,NA,0.464,2.233,1.406,0.882,0.524,0.193,0.1334,0.0596,NA,NA
B289,39,21/10/2023,14,28,A,NA,0.476,2.495,1.613,0.924,0.689,0.2238,0.1536,0.0702,NA,NA
B290,39,22/10/2023,13,27,B,NA,0.479,2.843,1.876,1.067,0.809,0.2596,0.1983,0.0613,NA,NA
B290,40,22/10/2023,13,27,B,NA,0.45,2.071,2.024,1.439,0.585,0.2438,0.1897,0.0541,NA,NA
B289,59,22/10/2023,13,27,B,NA,0.446,0,0,0,0,0,0,0,NA,NA
B289,65,22/10/2023,13,27,B,NA,0.478,0,0,0,0,0,0,0,NA,NA
B289,66,22/10/2023,13,27,B,NA,0.452,1.799,1.011,0.606,0.405,0.1825,0.134,0.0485,NA,NA
B290,41,22/10/2023,NA,NA,B,NA,0.224,0,0,0,0,0,0,0,NA,NA
B290,42,22/10/2023,NA,NA,B,NA,0.398,0,0,0,0,0,0,0,NA,NA
B289,1,23/09/2023,12,26,A,NA,0.45,2.326,1.424,0.886,0.538,0.272,0.1791,0.0929,NA,NA
B289,2,23/09/2023,10,24,A,NA,0.464,2.452,0,0,0,0.3021,0.2063,0.0958,NA,NA
B289,3,23/09/2023,NA,NA,A,NA,0.244,0,0,0,0,0,0,0,NA,NA
B289,4,23/09/2023,NA,NA,A,NA,0.593,0,0,0,0,0,0,0,NA,NA
B289,5,23/09/2023,NA,NA,A,NA,0.576,0,0,0,0,0,0,0,NA,NA
B289,6,23/09/2023,9,23,A,NA,0.455,2.616,0,0,0,0.3095,0.2035,0.106,NA,NA
B289,7,23/09/2023,NA,NA,A,NA,0.34,0,0,0,0,0,0,0,NA,NA
B289,8,23/09/2023,12,16,A,NA,0.55,2.326,1.469,0.812,0.657,0.2932,0.1817,0.1115,NA,NA
B289,9,23/09/2023,10,24,A,NA,0.471,2.721,0,0,0,0.3259,0.2138,0.1121,NA,NA
B289,10,23/09/2023,9,23,A,NA,0.451,2.58,0,0,0,0.3148,0.2193,0.0955,NA,NA
B289,11,23/09/2023,10,24,A,NA,0.503,2.397,0,0,0,0.3094,0.2193,0.0901,NA,NA
B289,12,23/09/2023,10,24,A,NA,0.475,2.521,0,0,0,0.3011,0.1879,0.1132,NA,NA
B289,13,23/09/2023,9,23,A,NA,0.502,2.615,0,0,0,0.2474,0.1492,0.0982,NA,NA
B289,14,23/09/2023,10,24,A,NA,0.48,2.633,0,0,0,0.3108,0.1944,0.1164,NA,NA
B289,15,23/09/2023,9,23,A,NA,0.503,3.166,0,0,0,0.3385,0.2321,0.1064,NA,NA
B289,16,23/09/2023,9,23,A,NA,0.512,2.816,0,0,0,0.2913,0.2161,0.0752,NA,NA
B289,17,23/09/2023,9,23,A,NA,0.514,2.498,0,0,0,0.3239,0.2131,0.1108,NA,NA
B289,18,NA,NA,NA,B,NA,0.424,2.822,0,0,0,0.3098,0.1906,0.1192,NA,NA
B289,19,24/09/2023,9,23,B,NA,0.467,2.766,0,0,0,0.3508,0.2261,0.1247,NA,NA
B289,20,24/09/2023,9,23,B,NA,0.497,3.071,0,0,0,0.2586,0.1567,0.1019,NA,NA
B289,21,24/09/2023,9,23,B,NA,0.44,0,0,0,0,0.2811,0.1938,0.0873,NA,NA
B289,22,24/09/2023,9,23,B,NA,0.508,1.769,0,0,0,0.2373,0.1697,0.0676,NA,NA
B289,23,24/09/2023,9,23,B,NA,0.496,2.81,0,0,0,0.3327,0.2197,0.113,NA,NA
B289,24,24/09/2023,8,22,B,NA,0.526,2.765,0,0,0,0.3566,0.2391,0.1175,NA,NA
B289,25,24/09/2023,NA,NA,B,NA,0.328,0,0,0,0,0,0,0,NA,NA
B289,26,24/09/2023,9,23,B,NA,0.499,2.802,0,0,0,0.2959,0.1918,0.1041,NA,NA
B289,27,24/09/2023,NA,NA,B,NA,0.396,0,0,0,0,0,0,0,NA,NA
B289,28,24/09/2023,11,25,B,NA,0.467,2.823,1.357,1.072,0.285,0.2782,0.1952,0.083,NA,NA
B289,29,24/09/2023,NA,NA,B,NA,0.182,0,0,0,0,0,0,0,NA,NA
B289,30,24/09/2023,9,23,B,NA,0.467,2.73,0,0,0,0.2721,0.193,0.0791,NA,NA
B289,31,24/09/2023,11,25,B,NA,0.506,2.636,1.332,0.972,0.36,0.2801,0.193,0.0871,NA,NA
B289,32,24/09/2023,NA,NA,B,NA,0.193,0,0,0,0,0,0,0,NA,NA
B289,33,24/09/2023,8,22,B,NA,0.467,2.776,0,0,0,0.2977,0.2138,0.0839,NA,NA
B289,34,24/09/2023,11,25,B,NA,0.542,1.734,1.651,1.187,0.464,0.2739,0.1969,0.077,NA,NA
B289,35,24/09/2023,9,23,B,NA,0.455,2.829,0,0,0,0.3131,0.2308,0.0823,NA,NA
B289,36,NA,NA,NA,B,NA,0.215,0,0,0,0,0,0,0,NA,NA
Bowman,1,23/09/2023,10,24,A,NA,0.491,2.528,0,0,0,0.2662,0.1626,0.1036,NA,NA
Bowman,2,23/09/2023,10,24,A,NA,0.45,2.338,0,0,0,0.2301,0.1507,0.0794,NA,NA
Bowman,3,23/09/2023,12,26,A,NA,0.511,2.436,1.939,1.205,0.734,0.3001,0.197,0.1031,NA,NA
Bowman,4,23/09/2023,12,26,A,NA,0.487,2.303,2.145,1.374,0.771,0.3188,0.1938,0.125,NA,NA
Bowman,5,23/09/2023,10,24,A,NA,0.471,2.898,0,0,0,0.2687,0.1919,0.0768,NA,NA
Bowman,6,23/09/2023,9,23,A,NA,0.47,2.48,0,0,0,0.2957,0.1851,0.1106,NA,NA
Bowman,7,23/09/2023,NA,NA,A,NA,0.338,0,0,0,0,0,0,0,NA,NA
Bowman,8,23/09/2023,12,26,A,NA,0.494,2.235,2.016,1.371,0.645,0.2352,0.1444,0.0908,NA,NA
Bowman,9,23/09/2023,9,23,A,NA,0.488,2.304,0,0,0,0.2937,0.1889,0.1048,NA,NA
Bowman,10,23/09/2023,10,24,A,NA,0.475,2.383,0,0,0,0.2211,0.1588,0.0623,NA,NA
Bowman,11,23/09/2023,9,23,A,NA,0.487,1.94,0,0,0,0.1955,0.1311,0.0644,NA,NA
Bowman,12,23/09/2023,12,26,A,NA,0.531,2.219,2.063,1.315,0.748,0.2912,0.185,0.1062,NA,NA
Bowman,13,23/09/2023,NA,NA,A,NA,0.439,0,0,0,0,0,0,0,NA,NA
Bowman,14,23/09/2023,NA,NA,A,NA,0.35,0,0,0,0,0,0,0,NA,NA
Bowman,15,23/09/2023,10,24,A,NA,0.569,2.408,0,0,0,0.2514,0.1711,0.0803,NA,NA
Bowman,16,23/09/2023,9,23,A,NA,0.48,2.074,0,0,0,0.2299,0.1533,0.0766,NA,NA
Bowman,17,23/09/2023,10,24,A,NA,0.478,2.468,0,0,0,0.241,0.1628,0.0782,NA,NA
Bowman,18,23/09/2023,NA,NA,A,NA,0.569,0,0,0,0,0,0,0,NA,NA
Bowman,19,23/09/2023,12,26,A,NA,0.537,2.33,1.203,0.741,0.462,0.2373,0.1512,0.0861,NA,NA
Bowman,20,23/09/2023,9,23,A,NA,0.478,2.118,0,0,0,0.2004,0.1374,0.063,NA,NA
Bowman,21,23/09/2023,10,24,A,NA,0.462,2.517,0,0,0,0.2654,0.1833,0.0821,NA,NA
Bowman,22,23/09/2023,12,26,A,NA,0.498,2.053,1.579,0.893,0.686,0.2506,0.1534,0.0972,NA,NA
Bowman,23,23/09/2023,10,24,A,NA,0.479,2.354,0,0,0,0.248,0.174,0.074,NA,NA
Bowman,24,23/09/2023,9,23,A,NA,0.522,2.275,0,0,0,0.2674,0.1641,0.1033,NA,NA
Bowman,25,23/09/2023,9,23,A,NA,0.542,2.4,0,0,0,0.3071,0.2086,0.0985,NA,NA
Bowman,26,24/09/2023,8,22,B,NA,0.454,2.515,0,0,0,0.322,0.1934,0.1286,NA,NA
Bowman,27,24/09/2023,11,25,B,NA,0.54,1.994,0.972,0.627,0.345,0.2151,0.145,0.0701,NA,NA
Bowman,28,24/09/2023,11,25,B,NA,0.476,2.089,1.81,1.206,0.604,0.275,0.1828,0.0922,NA,NA
Bowman,29,24/09/2023,9,23,B,NA,0.499,1.99,0,0,0,0.2136,0.1541,0.0595,NA,NA
Bowman,30,24/09/2023,NA,NA,B,NA,0.521,2.513,1.618,0.966,0.652,0.2738,0.1858,0.088,NA,NA
Bowman,31,24/09/2023,8,22,B,NA,0.514,2.461,0,0,0,0.2484,0.1744,0.074,NA,NA
Bowman,32,24/09/2023,9,23,B,NA,0.518,2.751,0,0,0,0.3105,0.2132,0.0973,NA,NA
Bowman,33,24/09/2023,NA,NA,B,NA,0.361,0,0,0,0,0,0,0,NA,NA
Bowman,34,24/09/2023,11,25,B,NA,0.491,1.905,1.803,1.167,0.636,0.2649,0.1689,0.096,NA,NA
Bowman,35,24/09/2023,8,22,B,NA,0.497,2.445,0,0,0,0.25,0.1673,0.0827,NA,NA
Bowman,36,24/09/2023,8,22,B,NA,0.456,2.288,0,0,0,0.2746,0.1786,0.096,NA,NA
Bowman,37,24/09/2023,11,25,B,NA,0.464,2.504,1.573,0.823,0.75,0.2878,0.1692,0.1186,NA,NA
Bowman,38,24/09/2023,11,25,B,NA,0.485,1.597,1.191,0.783,0.408,0.2338,0.1642,0.0696,NA,NA
B290,1,NA,NA,NA,A,NA,0,0,0,0,0,0,0,0,NA,NA
B290,2,NA,NA,NA,A,NA,0.154,0,0,0,0,0,0,0,NA,NA
B290,3,NA,NA,NA,A,NA,0.324,0,0,0,0,0,0,0,NA,NA
B290,4,23/09/2023,9,23,A,NA,0.515,2.625,0,0,0,0.2761,0.1981,0.078,NA,NA
B290,5,23/09/2023,10,24,A,NA,0.474,2.524,0,0,0,0.267,0.1858,0.0812,NA,NA
B290,6,23/09/2023,12,26,A,NA,0.47,1.662,0.894,0.572,0.322,0.1859,0.1265,0.0594,NA,NA
B290,7,23/09/2023,10,24,A,NA,0.468,2.115,0,0,0,0.2405,0.1583,0.0822,NA,NA
B290,8,23/09/2023,9,23,A,NA,0.463,2.072,0,0,0,0.2805,0.1839,0.0966,NA,NA
B290,9,23/09/2023,9,23,A,NA,0.483,2.92,0,0,0,0.3029,0.1866,0.1163,NA,NA
B290,10,23/09/2023,9,23,A,NA,0.5,2.241,0,0,0,0.2226,0.161,0.0616,NA,NA
B290,11,23/09/2023,9,23,A,NA,0.503,2.437,0,0,0,0.2957,0.1855,0.1102,NA,NA
B290,12,23/09/2023,12,26,A,NA,0.512,2.651,2.099,1.446,0.653,0.2922,0.1995,0.0927,NA,NA
B290,13,24/09/2023,11,25,B,NA,0.54,2.035,1.866,1.265,0.601,0.248,0.1644,0.0836,NA,NA
B290,14,24/09/2023,NA,NA,B,NA,0.419,0,0,0,0,0,0,0,NA,NA
B290,15,24/09/2023,NA,NA,B,NA,0.227,0,0,0,0,0,0,0,NA,NA
B290,16,24/09/2023,NA,NA,B,NA,0.57,0,0,0,0,0,0,0,NA,NA
B290,17,24/09/2023,NA,NA,B,NA,0.443,0,0,0,0,0,0,0,NA,NA
B290,18,24/09/2023,NA,NA,B,NA,0.375,0,0,0,0,0,0,0,NA,NA
B290,19,24/09/2023,NA,NA,B,NA,0.389,0,0,0,0,0,0,0,NA,NA
B290,20,24/09/2023,11,25,B,NA,0.542,2.564,1.56,0.916,0.644,0.325,0.2033,0.1217,NA,NA
B290,21,24/09/2023,9,23,B,NA,0.458,3.036,0,0,0,0.2997,0.1887,0.111,NA,NA
B290,22,24/09/2023,9,23,B,NA,0.195,0,0,0,0,0,0,0,NA,NA
B290,23,24/09/2023,9,23,B,NA,0.349,0,0,0,0,0,0,0,NA,NA
B290,24,24/09/2023,9,23,B,NA,0.257,0,0,0,0,0,0,0,NA,NA
B290,25,24/09/2023,9,23,B,NA,0.293,0,0,0,0,0,0,0,NA,NA
B290,26,24/09/2023,9,23,B,NA,0.507,2.881,0,0,0,0.3277,0.2165,0.1112,NA,NA
