EXP,plant,rep,PEG,Temp,Weiss,Hoaglands,IFW,FFW,SFFW,RFFW,CFW,TDW,SDW,RDW,TWC,SWC,RWC,DR:S,WCR:S ,WU,RL,RSA,RAD,RV,RT,CFW/WU
0E,Ant,5,0%,4C,1,Hg50,,0.387,0.236,0.151,,,,,,,,,,6.5,73.8073,16.1298,0.6956,0.281,830,0
2E,Bow,4,15%,4°C,1,Hg50,0.496,0.643,0.45,0.193,0.147,0.0766,0.0572,0.0194,0.5664,0.3928,0.1736,0.339160839,0.441955193,6.33,88.32,19.5282,0.7038,0.344,831,0.023210526
0E,B284,7,15%,4C,1,Hg50,,0.39,0.235,0.155,,,,,,,,,,5.333333333,66.5607,20.1622,0.9642,0.486,831,0
1E,B284,4,0%,4°C,1,Hg50,0.224,0.42,0.323,0.097,0.196,0.0457,0.0346,0.0111,0.3743,0.2884,0.0859,0.320809249,0.297850208,6.67,115.106,31.6945,0.8765,0.694,833,0.0294
4E,B284,2,15%,4°C,3,Hg50,0.688,0.45,0.222,0.228,-0.238,0.0721,0.0531,0.019,0.3779,0.1689,0.209,0.357815443,1.237418591,0.00,35.8685,24.7066,2.1925,1.354,839,#DIV/0!
3E,B284,1,15%,4°C,3,Hg50,0.713,0.98,0.617,0.363,0.267,0.1228,0.0851,0.0377,0.8572,0.5319,0.3253,0.443008226,0.611581124,8.67,88.8363,27.3734,0.9808,0.671,844,0.030807692
0E,B290,2,0%,4C,1,Hg50,,0.654,0.402,0.252,,,,,,,,,,10.5,88.2308,25.473,0.919,0.585,852,0
2E,B290,2,15%,4°C,1,Hg50,0.291,0.368,0.245,0.123,0.077,0.0395,0.0275,0.012,0.3285,0.2175,0.111,0.436363636,0.510344828,3.33,66.8908,15.9606,0.7595,0.303,856,0.0231
0E,B285,1,15%,4C,1,Hg50,,0.46,0.32,0.14,,,,,,,,,,5.333333333,94.8288,17.6963,0.594,0.263,865,0
4E,B289,4,15%,4°C,3,Hg50,0.711,0.8,0.5,0.3,0.089,0.1122,0.08,0.0322,0.6878,0.42,0.2678,0.4025,0.637619048,6.00,13.4311,29.7948,7.0612,5.26,866,0.014833333
0E,Bow,1,15%,4C,1,Hg50,,0.484,0.3,0.184,,,,,,,,,,6.333333333,78.7964,23.1663,0.9358,0.542,870,0
3E,B285,2,15%,4°C,3,Hg50,0.367,0.37,0.34,0.03,0.003,0.0643,0.0497,0.0146,0.3057,0.2903,0.0154,0.293762575,0.05304857,5.67,63.8971,17.849,0.8892,0.397,879,0.000529412
