Plant ,Pot ,No,MaxZS,T,PH,PH,PH,PH,PH,PH,PH,PH,PH,PH,PH,PH,PH,PH,PHTot,PHAv,s.e.,Variance,,,
b.284,2,1,6,14,8,44,32,31,2,4,41,33,3.5,5,38,20,6,36.5,304,21.71428571,4.179247285,244.5255102,,,
b.284,2,2,5,9,3,17,43.5,4,3,27,31,16,35,NA,NA,NA,NA,NA,179.5,19.94444444,4.722185911,200.691358,,,
b.284,2,3,7,3,27,36,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,35.66666667,4.009248567,48.22222222,,,
b.284,3,1,7,3,37,37.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.5,25.5,9.594558643,276.1666667,,,
b.284,3,2,7,3,45,2,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,27.66666667,10.69094459,342.8888889,,,
b.284,3,3,7,3,5,33,35.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.5,24.5,7.98262001,191.1666667,,,
b.284,4,1,5,5,5,27.5,34.5,52.5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,127.5,25.5,7.849840763,308.1,,,
b.284,4,2,6,3,38,35.5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.5,29.16666667,6.219741569,116.0555556,,,
b.284,4,3,4,6,3,35.5,36.5,45,5,55,NA,NA,NA,NA,NA,NA,NA,NA,180,30,7.952113625,379.4166667,,,
b.284,5,1,6,2,26,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,30,2.828427125,16,,,
b.284,5,2,2,6,2.5,10,21,8,4,17,NA,NA,NA,NA,NA,NA,NA,NA,62.5,10.41666667,2.714203041,44.20138889,,,
b.284,5,3,4,4,29,21,36,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,22.75,5.770344444,133.1875,,,
b.284,6,1,4,2,41.5,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.5,47.25,4.065863992,33.0625,,,
b.284,6,2,4,5,9,30,56,48,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,40,8.173126697,334,,,
b.284,7,1,7,3,7,10,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,21.33333333,10.50220435,330.8888889,,,
b.284,7,2,6,2,47,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,43,2.828427125,16,,,
b.284,7,3,4,3,20,40,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,32,4.988876516,74.66666667,,,
b.284,8,1,7,3,33,42,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,32.33333333,4.721895414,66.88888889,,,
b.284,8,2,5,5,28,6,31.5,49,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,121.5,24.3,7.238231828,261.96,,,
b.284,8,3,4,4,15,9,23,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,20.25,4.6820802,87.6875,,,
b.284,9,1,4,6,44,14,24,26,5,5,NA,NA,NA,NA,NA,NA,NA,NA,118,19.66666667,5.561108336,185.5555556,,,
b.284,9,2,7,3,35,31,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,32.66666667,0.981306763,2.888888889,,,
b.284,9,3,5,6,51,47,31,4,3,30,NA,NA,NA,NA,NA,NA,NA,NA,166,27.66666667,7.643685363,350.5555556,,,
b.284,10,1,4,3,31,20,31.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.5,27.5,3.064129385,28.16666667,,,
b.284,10,2,4,3,4,29,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,22.66666667,7.750746678,180.2222222,,,
b.284,10,3,6,2,50,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,37.5,8.838834765,156.25,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
